index,ant_a,ant_b,vis
0,0,1,0.2800106451703837-0.29552344735050584i
1,0,1,0.21114200770900526-0.3175115772744532i
2,0,1,0.3183745116635156-0.3900468676966148i
3,0,1,0.3779610479016212-0.22556628810735013i
4,0,1,0.41776834095486615-0.12814970172433054i
5,0,1,0.44126630475410533-0.24831173125347022i
6,0,1,0.36996000446704397-0.4489467252993681i
7,0,1,0.24001758909718918-0.2776067763104045i
8,0,1,0.2868276251484513-0.3629954880309236i
9,0,1,0.23899265475371187-0.3531865577432509i
10,0,1,0.2800008212643869-0.3544247178965731i
11,0,1,0.35915223937733226-0.3236937336181291i
12,0,1,0.6230872728911753-0.4841101241814958i
13,0,1,0.2894076882571679-0.4843583007603372i
14,0,1,0.3931961629526882-0.34561574437084264i
15,0,1,0.3583536868038158-0.37615909867472896i
16,0,1,0.371585880106263-0.2695668075195698i
17,0,1,0.3666352800233127-0.23668038226999433i
18,0,1,0.22721340482548652-0.2972005473914548i
19,0,1,0.4412150761003011-0.3410996639390416i
20,0,1,0.36831700342814244-0.25890083059726027i
21,0,1,0.44428463715420563-0.23265181611134966i
22,0,1,0.3689717325913507-0.4306434859359676i
23,0,1,0.49631943225085184-0.32990381695767074i
24,0,1,0.25176015011493347-0.3968531693979701i
25,0,1,0.4900666668847321-0.20552061425553775i
26,0,1,0.3276604737119165-0.42705883683357865i
27,0,1,0.3298972570639991-0.2469189198626744i
28,0,1,0.4348015855787927-0.16975558950547792i
29,0,1,0.09796145349098456-0.28499336828323507i
30,0,1,0.6825336782943265-0.4149398519282088i
31,0,1,0.349572017775883-0.32813976846333i
32,0,1,0.3390924789399741-0.21411085644905134i
33,0,1,0.3201407687925283-0.3115083216796044i
34,0,1,0.409363019640802-0.2852174723715218i
35,0,1,0.5858068716444318-0.29282474982746454i
36,0,1,0.33309176994282985-0.3982181013812129i
37,0,1,0.3581616941227305-0.361484389017823i
38,0,1,0.2640758520421352-0.37302118002852075i
39,0,1,0.4940002849801048-0.4542774473224652i
40,0,1,0.3131028662635834-0.15540716051114772i
41,0,1,0.25834218732202074-0.40789329634056504i
42,0,1,0.4567815116846807-0.34292950849637427i
43,0,1,0.42708504059261476-0.17879376115314274i
44,0,1,0.21641359223829634-0.23299279946292206i
45,0,1,0.29420966064519893-0.3756209197053375i
46,0,1,0.3677369800799834-0.4237156372608719i
47,0,1,0.21921323710318819-0.2896119279003865i
48,0,1,0.29385949646739323-0.385311938385441i
49,0,1,0.32761654080315883-0.266171443353646i
50,0,1,0.5005346422943086-0.45502819747226164i
51,0,1,0.48229267733076997-0.2876057931719257i
52,0,1,0.29835129967341756-0.4823433506370186i
53,0,1,0.46225286289076334-0.1951264652525703i
54,0,1,0.3930276617834506-0.18582216098044066i
55,0,1,0.2966227175187617-0.49359770080981125i
56,0,1,0.3204495153205551-0.25040764800436566i
57,0,1,0.3088460905934517-0.2793856126900876i
58,0,1,0.2998231306814096-0.32043348027552543i
59,0,1,0.23684834622144912-0.1574595656669505i
60,0,1,0.390918567953058-0.28541621680304957i
61,0,1,0.27103336137814693-0.2842847145442794i
62,0,1,0.3415497967494173-0.3035186836558608i
63,0,1,0.38470189602298066-0.1981345531005077i
64,0,1,0.3591790848034489-0.40754570856296657i
65,0,1,0.4442718623332962-0.21099637492285284i
66,0,1,0.24050138151962758-0.22288772415383018i
67,0,1,0.23490869349843294-0.06831929387898394i
68,0,1,0.40385125504785857-0.39048630059490513i
69,0,1,0.46335204754774095-0.30033404869578495i
70,0,1,0.3106652812194966-0.40155797205088656i
71,0,1,0.29898420636932793-0.40212661140113265i
72,0,1,0.28906964126311346-0.22626114569380845i
73,0,1,0.40688853761336957-0.24341797471687i
74,0,1,0.42648457913659643-0.21114379920078996i
75,0,1,0.31647062585881797-0.27011204944758976i
76,0,1,0.51742976552994-0.21945428687119342i
77,0,1,0.18584951405778985-0.42383816347415093i
78,0,1,0.38236669586574573-0.28390660827392905i
79,0,1,0.5024662424231063-0.297714361439942i
80,0,1,0.5045328444508286-0.38598634149800526i
81,0,1,0.1841856708138392-0.3302883559731028i
82,0,1,0.4010854122170424-0.3599360114668096i
83,0,1,0.3473267778595093-0.47379835404316906i
84,0,1,0.3870165818510679-0.23091543568106515i
85,0,1,0.4285315394036743-0.2998050763059659i
86,0,1,0.37642419034177915-0.1091452267439485i
87,0,1,0.3489861552638086-0.37429089376852476i
88,0,1,0.25139984329442366-0.19987355535142942i
89,0,1,0.36989551682526106-0.23421236289409747i
90,0,1,0.33691924026703796-0.3214208788191912i
91,0,1,0.21374117068117585-0.25997590479095767i
92,0,1,0.5756385116736924-0.42793686061862835i
93,0,1,0.335119611959197-0.24817633299558783i
94,0,1,0.335330189721659-0.25682167114406795i
95,0,1,0.2965690688674248-0.22095180329830702i
96,0,1,0.28660812388579965-0.344460489407972i
97,0,1,0.3250962417477239-0.31929105816825787i
98,0,1,0.4086979296350687-0.2336457985637944i
99,0,1,0.30959029351710643-0.33257543514788496i
100,0,2,0.01651781219748477+0.8500094670450754i
101,0,2,0.18372347860703858+0.9275036807682842i
102,0,2,0.14607018516222464+0.9407124201971522i
103,0,2,0.271425925390396+0.8147087482433022i
104,0,2,0.17858839532925452+0.8401882722038455i
105,0,2,0.2970851630377807+0.7382044802003458i
106,0,2,0.3477112082847432+0.8312042035143675i
107,0,2,0.1619665186047203+0.8329114222428731i
108,0,2,0.17532205533714626+0.6915834652360232i
109,0,2,0.17913283435742985+0.9070975726574205i
110,0,2,0.3651170380903387+0.9908585451351275i
111,0,2,0.32880190434338114+0.8284702502223108i
112,0,2,0.23778514496923708+1.015242786197893i
113,0,2,0.378973009034956+0.9486575853898668i
114,0,2,0.2673470196106084+0.8491767940849828i
115,0,2,0.14392167141444245+1.0232905654376254i
116,0,2,0.11022751468691333+0.9802727318783933i
117,0,2,0.24999153041933603+0.9059871784339918i
118,0,2,0.17682670486990507+0.9302037231675981i
119,0,2,0.3127450237251781+0.7788164516876117i
120,0,2,0.1778867989742827+0.7257221159135746i
121,0,2,0.18449851765502204+0.7654039118407339i
122,0,2,0.07037786805101431+0.8524665581292069i
123,0,2,0.3573465537532772+1.04864780424058i
124,0,2,0.09323407415070564+0.8952759351353268i
125,0,2,0.07872294650650345+0.6843743735472453i
126,0,2,0.07912462603229463+0.9161913424092634i
127,0,2,0.27040584861532446+0.8467716595134295i
128,0,2,0.12017437942150863+0.7374479651576005i
129,0,2,0.2949579642362944+0.9044776064137049i
130,0,2,0.047815782077479135+0.8862678495773277i
131,0,2,0.0979220843197649+0.7612399262649123i
132,0,2,0.18897232436504907+0.8943592588487016i
133,0,2,0.15903382984172398+0.6520202383497019i
134,0,2,0.26373494406730225+0.8679035707942254i
135,0,2,0.10903718952906462+0.8291116415954085i
136,0,2,0.11936019134553993+1.0248151298594266i
137,0,2,0.04860261672323904+0.7338237805701796i
138,0,2,0.15862431060306878+0.7546493652162407i
139,0,2,0.19061166572515112+0.9306341318058802i
140,0,2,0.213978622262097+0.9770093867933575i
141,0,2,0.2916625305669182+0.9019095397443231i
142,0,2,0.27732902015146565+0.9140909230239367i
143,0,2,0.22001348948025512+0.9994164693669192i
144,0,2,0.05055317907593804+0.7993278761492735i
145,0,2,0.1460647888331771+0.7055796366661871i
